fulldate,DateID,week day,Month ID,Month Discription,Year ID,Quarter ID,month_ind,year_ind
2018-02-02,20180202,4,2,February,2018,1,0,0
2018-02-03,20180203,5,2,February,2018,1,0,0
2018-02-04,20180204,6,2,February,2018,1,0,0
2018-02-05,20180205,0,2,February,2018,1,0,0
2018-02-06,20180206,1,2,February,2018,1,0,0
2018-02-07,20180207,2,2,February,2018,1,0,0
2018-02-08,20180208,3,2,February,2018,1,0,0
2018-02-09,20180209,4,2,February,2018,1,0,0
2018-02-10,20180210,5,2,February,2018,1,0,0
2018-02-11,20180211,6,2,February,2018,1,0,0
2018-02-12,20180212,0,2,February,2018,1,0,0
2018-02-13,20180213,1,2,February,2018,1,0,0
2018-02-14,20180214,2,2,February,2018,1,0,0
2018-02-15,20180215,3,2,February,2018,1,0,0
2018-02-16,20180216,4,2,February,2018,1,0,0
2018-02-17,20180217,5,2,February,2018,1,0,0
2018-02-18,20180218,6,2,February,2018,1,0,0
2018-02-19,20180219,0,2,February,2018,1,0,0
2018-02-20,20180220,1,2,February,2018,1,0,0
2018-02-21,20180221,2,2,February,2018,1,0,0
2018-02-22,20180222,3,2,February,2018,1,0,0
2018-02-23,20180223,4,2,February,2018,1,0,0
2018-02-24,20180224,5,2,February,2018,1,0,0
2018-02-25,20180225,6,2,February,2018,1,0,0
2018-02-26,20180226,0,2,February,2018,1,0,0
2018-02-27,20180227,1,2,February,2018,1,0,0
2018-02-28,20180228,2,2,February,2018,1,0,0
2018-03-01,20180301,3,3,March,2018,1,0,1
2018-03-02,20180302,4,3,March,2018,1,0,1
2018-03-03,20180303,5,3,March,2018,1,0,1
2018-03-04,20180304,6,3,March,2018,1,0,1
2018-03-05,20180305,0,3,March,2018,1,0,1
2018-03-06,20180306,1,3,March,2018,1,0,1
2018-03-07,20180307,2,3,March,2018,1,0,1
2018-03-08,20180308,3,3,March,2018,1,0,1
2018-03-09,20180309,4,3,March,2018,1,0,1
2018-03-10,20180310,5,3,March,2018,1,0,1
2018-03-11,20180311,6,3,March,2018,1,0,1
2018-03-12,20180312,0,3,March,2018,1,0,1
2018-03-13,20180313,1,3,March,2018,1,0,1
2018-03-14,20180314,2,3,March,2018,1,0,1
2018-03-15,20180315,3,3,March,2018,1,0,1
2018-03-16,20180316,4,3,March,2018,1,0,1
2018-03-17,20180317,5,3,March,2018,1,0,1
2018-03-18,20180318,6,3,March,2018,1,0,1
2018-03-19,20180319,0,3,March,2018,1,0,1
2018-03-20,20180320,1,3,March,2018,1,0,1
2018-03-21,20180321,2,3,March,2018,1,0,1
2018-03-22,20180322,3,3,March,2018,1,0,1
2018-03-23,20180323,4,3,March,2018,1,0,1
2018-03-24,20180324,5,3,March,2018,1,0,1
2018-03-25,20180325,6,3,March,2018,1,0,1
2018-03-26,20180326,0,3,March,2018,1,0,1
2018-03-27,20180327,1,3,March,2018,1,0,1
2018-03-28,20180328,2,3,March,2018,1,0,1
2018-03-29,20180329,3,3,March,2018,1,0,1
2018-03-30,20180330,4,3,March,2018,1,0,1
2018-03-31,20180331,5,3,March,2018,1,0,1
2018-04-01,20180401,6,4,April,2018,2,0,0
2018-04-02,20180402,0,4,April,2018,2,0,0
2018-04-03,20180403,1,4,April,2018,2,0,0
2018-04-04,20180404,2,4,April,2018,2,0,0
2018-04-05,20180405,3,4,April,2018,2,0,0
2018-04-06,20180406,4,4,April,2018,2,0,0
2018-04-07,20180407,5,4,April,2018,2,0,0
2018-04-08,20180408,6,4,April,2018,2,0,0
2018-04-09,20180409,0,4,April,2018,2,0,0
2018-04-10,20180410,1,4,April,2018,2,0,0
2018-04-11,20180411,2,4,April,2018,2,0,0
2018-04-12,20180412,3,4,April,2018,2,0,0
2018-04-13,20180413,4,4,April,2018,2,0,0
2018-04-14,20180414,5,4,April,2018,2,0,0
2018-04-15,20180415,6,4,April,2018,2,0,0
2018-04-16,20180416,0,4,April,2018,2,0,0
2018-04-17,20180417,1,4,April,2018,2,0,0
2018-04-18,20180418,2,4,April,2018,2,0,0
2018-04-19,20180419,3,4,April,2018,2,0,0
2018-04-20,20180420,4,4,April,2018,2,0,0
2018-04-21,20180421,5,4,April,2018,2,0,0
2018-04-22,20180422,6,4,April,2018,2,0,0
2018-04-23,20180423,0,4,April,2018,2,0,0
2018-04-24,20180424,1,4,April,2018,2,0,0
2018-04-25,20180425,2,4,April,2018,2,0,0
2018-04-26,20180426,3,4,April,2018,2,0,0
2018-04-27,20180427,4,4,April,2018,2,0,0
2018-04-28,20180428,5,4,April,2018,2,0,0
2018-04-29,20180429,6,4,April,2018,2,0,0
2018-04-30,20180430,0,4,April,2018,2,0,0
2018-05-01,20180501,1,5,May,2018,2,0,0
2018-05-02,20180502,2,5,May,2018,2,0,0
2018-05-03,20180503,3,5,May,2018,2,0,0
2018-05-04,20180504,4,5,May,2018,2,0,0
2018-05-05,20180505,5,5,May,2018,2,0,0
2018-05-06,20180506,6,5,May,2018,2,0,0
2018-05-07,20180507,0,5,May,2018,2,0,0
2018-05-08,20180508,1,5,May,2018,2,0,0
2018-05-09,20180509,2,5,May,2018,2,0,0
2018-05-10,20180510,3,5,May,2018,2,0,0
2018-05-11,20180511,4,5,May,2018,2,0,0
2018-05-12,20180512,5,5,May,2018,2,0,0
2018-05-13,20180513,6,5,May,2018,2,0,0
2018-05-14,20180514,0,5,May,2018,2,0,0
2018-05-15,20180515,1,5,May,2018,2,0,0
2018-05-16,20180516,2,5,May,2018,2,0,0
2018-05-17,20180517,3,5,May,2018,2,0,0
2018-05-18,20180518,4,5,May,2018,2,0,0
2018-05-19,20180519,5,5,May,2018,2,0,0
2018-05-20,20180520,6,5,May,2018,2,0,0
2018-05-21,20180521,0,5,May,2018,2,0,0
2018-05-22,20180522,1,5,May,2018,2,0,0
2018-05-23,20180523,2,5,May,2018,2,0,0
2018-05-24,20180524,3,5,May,2018,2,0,0
2018-05-25,20180525,4,5,May,2018,2,0,0
2018-05-26,20180526,5,5,May,2018,2,0,0
2018-05-27,20180527,6,5,May,2018,2,0,0
2018-05-28,20180528,0,5,May,2018,2,0,0
2018-05-29,20180529,1,5,May,2018,2,0,0
2018-05-30,20180530,2,5,May,2018,2,0,0
2018-05-31,20180531,3,5,May,2018,2,0,0
2018-06-01,20180601,4,6,June,2018,2,0,0
2018-06-02,20180602,5,6,June,2018,2,0,0
2018-06-03,20180603,6,6,June,2018,2,0,0
2018-06-04,20180604,0,6,June,2018,2,0,0
2018-06-05,20180605,1,6,June,2018,2,0,0
2018-06-06,20180606,2,6,June,2018,2,0,0
2018-06-07,20180607,3,6,June,2018,2,0,0
2018-06-08,20180608,4,6,June,2018,2,0,0
2018-06-09,20180609,5,6,June,2018,2,0,0
2018-06-10,20180610,6,6,June,2018,2,0,0
2018-06-11,20180611,0,6,June,2018,2,0,0
2018-06-12,20180612,1,6,June,2018,2,0,0
2018-06-13,20180613,2,6,June,2018,2,0,0
